CURIE,Label,Type,Definition,Parent,Disjoint classes,Inverse property,Domain,Range,isPerformedAt,isPerformedOn,hasLocation,isResultOf,hasResult,hasSample,isSampleOf,ProcessInvolved,conductsExperimentsIn,hasSampleType,hasSampleID,isCollectedFrom,isMeasuredIn,isControlledByDevice,isMeasuredByDevice,makesMeasurement,hasMeasurement,isMeasurementOf,relatesToMeasurement,relatesToProperty,measuresProperty,detectProperty,isPropertyOf,hasProperty,hasSensorType,base_name,base_value,has_value,has_version,name,update_time
http://purl.obolibrary.org/obo/CHEBI_30772,Butyric,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_32816,Pyruvic,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_422,Lactic,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_15741,Succinic,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_16135,Isobutyric,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_30768,Propionic,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#Unknown,Unknown,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_16134,Ammonia,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_17883,hydrogen chloride,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_16136,Hydrogen_Sulphide,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_16183,Methane,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_16236,Ethanol,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_17245,carbon monoxide,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_24632,hydrocarbon,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_30239,fluorine,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
